CaseID,
duration,
weight1,
weight1b,
weight2,
weight2b,
xsflag,
xlaptop,
L0_a,
L0_b,
L0_c,
L0_d,
L0_e,
L0_f,
L0_g,
L0A,
L1_a,Why do people live with people? 
L1_b,
L1_c,
L1_d,
L1_e,
L1_f,
B2,finance totay 
B3,finance compared to 12 months ago. 
B6,
B8,
B7_a,
B7_b,
B11,
D1A,
D1E,
D21_a,
D21_b,
D21_c,
D21_d,
D21_e,
D21_f,
D21_g,
D3A,
D3B,
D20,
D30,
D31,
D33,
D4,
D6_a,
D6_b,
D6_c,
D44_a,
D44_b,
D44_c,
D44_d,
D44_e,
D44_f,
D5,
GE1_a,
GE1_b,
GE1_c,
GE1_d,
GE1_e,
GE1_f,
GE2_a,
GE2_b,
GE2_c,
GE2_d,
GE2_e,
GE10_a,
GE10_b,
GE10_c,
GE10_d,
GE10_e,
GE10_f,
GE10_g,
GE10_Refused,
GE11,
GE4,
GE20,
GE22,
GE40a,
GE40b,
GE5,
GH1,
GH2N,
GH3_a,
GH3_b,
GH3_c,
GH3_d,
GH3_e,
GH3_f,
GH10_a,
GH10_b,
GH10_c,
GH10_d,
GH10_e,
GH10_f,
GH10_g,
R1_a,
R1_b,
R1_c,
R1_d,
R1_e,
R1_f,
R1_g,
R1_h,
R1_i,
R1_Refused,
R4,
R5A,
R5B_a,
R5B_b,
R5B_c,
R5B_d,
R5C_a,
R5C_b,
R5C_c,
R5C_d,
R7,
R8,
R8A,
R3,
M4,
BK1,
BK2_a,
BK2_b,
BK2_c,
BK2_d,
BK2_e,
BK11_a,
BK11_b,
BK11_c,
BK11_d,
BK11_e,
BK11_f,
BK20_a,
BK20_b,
BK20_c,
BK40_a,
BK40_b,
BK40_c,
BK40_d,
BK42,
BK44_a,
BK44_b,
BK44_c,
A6,
A0,
A0B,
A1_a,
A1_b,
A1_c,
A2,
C2A,
C3,
C3A,
C4A,
ED0,
D1G,
ED0B,
ED0D,
ED1,
ED5,
ED6_a,
ED6_b,
ED6_c,
ED6_d,
ED6_e,
ED10,
ED11_a,
ED11_b,
ED11_c,
ED11_d,
ED11_e,
ED0C,
ED4A,
ED4B,
ED13_a,
ED13_b,
ED13_c,
ED13_d,
ED13_e,
ED13_f,
ED13_g,
ED13_h,
ED13_i,
ED13_j,
ED13_Refused,
ED14_a,
ED14_b,
ED14_c,
ED14_d,
ED14_e,
ED14_f,
ED14_g,
ED14_h,
ED14_i,
ED14_j,
ED14_Refused,
SL1,
SL2_a,
SL2_b,
SL2_c,
SL2_d,
SL3,
SL4,
SL6,
SL7,
SL8_a,
SL8_b,
SL8_c,
SL8_d,
SL8_e,
SL10,
SL11,
SL12_a,
SL12_b,
SL12_c,
SL12_d,
D1I,
K0,
K2_a,
K2_b,
K2_c,
K2_d,
K2_e,
K2_f,
K2_g,
K20,
DC4,
K5A,
K8A,
K9_a,
K9_b,
K9_c,
K9_d,
K9_e,
K9_f,
I0_a,
I0_b,
I0_c,
I0_d,
I0_e,
I0_f,
I0_g,
I0_h,
I0A,
I40,
I41_a,
I41_b,
I41_c,
I41_d,
I41_e,
I41_f,
I9,
I12,
I20,
FS10,
FS20_a,
FS20_b,
FS20_c,
FS20_d,
FS20_e,
FS30_a,
FS30_b,
FS30_c,
FS30_d,
FS30_e,
FS40,
EF1,
EF2,
EF3_a,
EF3_b,
EF3_c,
EF3_d,
EF3_e,
EF3_f,
EF3_g,
EF3_h,
EF3_i,
EF3_Refused,
EF5A,
EF5B,
EF6A_a,
EF6A_b,
EF6A_c,
EF6A_d,
EF6A_e,
EF6A_f,
EF6A_g,
EF6B_a,
EF6B_b,
EF6B_c,
EF6B_d,
EF6B_e,
EF6B_f,
EF6B_g,
E1_a,
E1_b,
E1_c,
E1_d,
E1_e,
E1_f,
E2,
E2A,
E2B,
E4_a,
E4_b,
E4_c,
E4_d,
E4_e,
E4_f,
E4_g,
E4_h,
E5,
CH1_a,
CH1_b,
CH1_c,
CH1_d,
CH2,
CH3,
FL0,
FL1,
FL2,
FL3,
FL4,
FL5,
ppcm0160,
ind1,
ppcm0062,
ppcm1301,
ppcmdate,
pphidate,
pph1date,
ppfsdate,
pppadate,
pphi0001,
pph10001,
ppfs0001,
ppfs0596,
veteran,
ppp10092,
ppp10093,
ppp10094,
ppp10095,
pppa1801,
pppa1701,
pppa1702,
pppa1703,
ppp10101,
ppp10102,
pppa1660,
ppp10103,
devicetype2,
ppage,
ppagecat,
ppagect4,
ppeduc,
ppeducat,
ppethm,
ppgender,
pphhhead,
pphhsize,
pphouse,
ppincimp,
ppinccat6,
ppmarit,
ppmsacat,
ppreg4,
ppreg9,
pprent,
ppstaten,
ppt01,
ppt25,
ppt612,
ppt1317,
ppt18ov,
ppwork,
iclevel,
control,
actcat,
